algorithm,constructionTime,executionTime,weightMST
Prim Geometric,1.684500,0.190600,47598
Kruskal Geometric,1.767800,0.027900,47598
Prim Nomal,2.228900,1.148000,1760
Kruskal Normal,2.922400,1.931400,1760
Prim Geometric,2.432400,1.470500,5658
Kruskal Geometric,4.838300,1.319500,5658
Prim Nomal,2.357300,1.217800,1900
Kruskal Normal,3.019100,1.887400,1900
Prim Geometric,3.346300,4.006900,5368
Kruskal Geometric,3.966900,1.121800,5368
Prim Nomal,2.407000,1.191500,1723
Kruskal Normal,4.551300,1.361100,1723
Prim Geometric,2.911900,1.501200,5402
Kruskal Geometric,3.544200,1.087300,5402
Prim Nomal,2.478000,1.159900,1752
Kruskal Normal,3.169600,1.113600,1752
Prim Geometric,4.248900,1.407000,5670
Kruskal Geometric,7.001100,1.143800,5670
Prim Nomal,2.394600,2.860400,1780
Kruskal Normal,3.030400,1.112000,1780
Prim Geometric,2.425900,1.278600,5418
Kruskal Geometric,3.135100,1.087100,5418
Prim Nomal,2.411100,1.124900,1697
Kruskal Normal,3.070600,1.164200,1697
Prim Geometric,2.481900,1.547200,5282
Kruskal Geometric,3.116300,1.078400,5282
Prim Nomal,2.264400,2.715000,1742
Kruskal Normal,3.269600,1.174700,1742
Prim Geometric,7.140600,4.513000,5263
Kruskal Geometric,7.880100,4.412500,5263
Prim Nomal,4.606200,1.162800,1789
Kruskal Normal,5.460900,1.121600,1789
Prim Geometric,2.517100,1.465400,5390
Kruskal Geometric,3.144600,1.065000,5390
Prim Nomal,6.108500,1.147300,1885
Kruskal Normal,6.750900,2.467200,1885
Prim Geometric,2.175400,1.292700,5707
Kruskal Geometric,2.809200,1.110600,5707
Prim Nomal,6.013000,1.986100,1734
Kruskal Normal,8.036200,1.259000,1734
Prim Geometric,2.439500,1.308400,5467
Kruskal Geometric,3.071700,1.117000,5467
Prim Nomal,4.197100,1.878600,1073
Kruskal Normal,5.405300,2.258800,1073
Prim Geometric,3.334700,2.251700,3976
Kruskal Geometric,4.705100,2.255500,3976
Prim Nomal,3.058700,1.800600,990
Kruskal Normal,4.267800,2.388600,990
Prim Geometric,3.614200,2.186600,3891
Kruskal Geometric,4.821700,2.138400,3891
Prim Nomal,3.242200,1.992900,967
Kruskal Normal,6.281100,2.980400,967
Prim Geometric,2.926400,2.634900,3779
Kruskal Geometric,4.032100,2.547700,3779
Prim Nomal,4.495700,1.782500,983
Kruskal Normal,5.578400,2.150700,983
Prim Geometric,3.043600,2.774900,3939
Kruskal Geometric,5.128500,3.252500,3939
Prim Nomal,3.025600,1.813900,1009
Kruskal Normal,4.260500,4.985400,1009
Prim Geometric,3.330000,2.258200,3967
Kruskal Geometric,4.500600,2.246800,3967
Prim Nomal,3.703600,1.876600,1008
Kruskal Normal,5.866100,3.232700,1008
Prim Geometric,2.947600,2.370600,4073
Kruskal Geometric,4.092600,3.659000,4073
Prim Nomal,4.784100,1.808900,1017
Kruskal Normal,5.902400,2.326100,1017
Prim Geometric,5.298100,2.329300,3969
Kruskal Geometric,6.598700,2.111200,3969
Prim Nomal,3.133100,1.821200,1092
Kruskal Normal,4.252300,4.160500,1092
Prim Geometric,3.075200,2.277300,3892
Kruskal Geometric,4.208400,9.728100,3892
Prim Nomal,5.998400,1.950900,981
Kruskal Normal,7.583200,2.315200,981
Prim Geometric,2.830000,2.315300,3864
Kruskal Geometric,3.934300,2.149700,3864
Prim Nomal,3.069700,2.008500,954
Kruskal Normal,4.148300,2.257900,954
Prim Geometric,2.982600,3.399300,3928
Kruskal Geometric,4.374300,2.548500,3928
Prim Nomal,3.492500,2.656800,753
Kruskal Normal,4.890600,5.219500,753
Prim Geometric,4.938600,2.483300,3282
Kruskal Geometric,6.288900,5.236200,3282
Prim Nomal,3.594700,1.985700,779
Kruskal Normal,4.939700,3.418700,779
Prim Geometric,4.419800,3.368900,3251
Kruskal Geometric,5.830300,3.242500,3251
Prim Nomal,3.545300,3.051100,809
Kruskal Normal,6.224000,5.117500,809
Prim Geometric,2.973000,3.912300,3265
Kruskal Geometric,4.267500,3.413400,3265
Prim Nomal,3.467500,1.982200,796
Kruskal Normal,4.871600,7.359400,796
Prim Geometric,3.730400,3.004800,3214
Kruskal Geometric,5.039100,5.058600,3214
Prim Nomal,4.962700,4.315500,784
Kruskal Normal,6.471400,4.650900,784
Prim Geometric,3.104400,4.096100,3263
Kruskal Geometric,4.548500,5.805000,3263
Prim Nomal,4.425000,7.089100,754
Kruskal Normal,5.729000,4.083200,754
Prim Geometric,3.101700,6.669900,3177
Kruskal Geometric,11.562300,8.245900,3177
Prim Nomal,3.571600,3.635400,750
Kruskal Normal,5.308900,4.485600,750
Prim Geometric,3.020900,3.420900,3359
Kruskal Geometric,4.225100,5.221900,3359
Prim Nomal,4.617300,2.036300,764
Kruskal Normal,5.909900,4.452800,764
Prim Geometric,3.514900,2.988900,3200
Kruskal Geometric,4.825000,3.257400,3200
Prim Nomal,5.766900,2.758600,835
Kruskal Normal,7.041600,3.695400,835
Prim Geometric,3.106200,4.047300,3246
Kruskal Geometric,4.291300,4.016300,3246
Prim Nomal,3.548400,2.006800,786
Kruskal Normal,4.842600,5.489600,786
Prim Geometric,3.408600,2.856600,3223
Kruskal Geometric,4.725900,3.211800,3223
Prim Nomal,3.124600,1.620500,649
Kruskal Normal,5.439600,4.427500,649
Prim Geometric,3.871900,5.503100,2923
Kruskal Geometric,4.906800,4.250600,2923
Prim Nomal,4.730100,2.631300,654
